Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"ClipData",2.66,"Aug  6 2018 10:55:49"," /shape:1 /dtm:c:\lidar\sampledata\4800k_ground_surface.dtm /height c:\lidar\sampledata\lda_4800K_data.lda c:\lidar\sampledata\clipplot1.lda 975984 567628 976104 567748 ","Fri Nov 30 09:41:01 2018","Fri Nov 30 09:41:01 2018",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /shape:1 /dtm:c:\lidar\sampledata\4800k_ground_surface.dtm /height c:\lidar\sampledata\lda_4800K_data.lda c:\lidar\sampledata\clipplot1.lda 975403 568166 975523 568286","Fri Nov 30 09:44:03 2018","Fri Nov 30 09:44:03 2018",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /shape:1 /dtm:c:\lidar\sampledata\4800k_ground_surface.dtm /height c:\lidar\sampledata\lda_4800K_data.lda c:\lidar\sampledata\clipplot2.lda 977110 566581 977230 566701 ","Fri Nov 30 09:44:03 2018","Fri Nov 30 09:44:04 2018",1,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /shape:1 /dtm:c:\lidar\sampledata\4800k_ground_surface.dtm /height c:\lidar\sampledata\lda_4800K_data.lda c:\lidar\sampledata\clipplot3.lda 974760 566560 974880 566680","Fri Nov 30 09:44:04 2018","Fri Nov 30 09:44:04 2018",0,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /above:12 /htmin:3 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:37:55 2018","Fri Nov 30 10:37:55 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /above:12 /htmin:3 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:38:11 2018","Fri Nov 30 10:38:11 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /above:12 /htmin:3 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:39:27 2018","Fri Nov 30 10:39:27 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /above:12 /htmin:3 C:\lidar\sampledata\clipplot2.lda C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:40:53 2018","Fri Nov 30 10:40:53 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id C:\lidar\sampledata\clipplot2.lda C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:41:23 2018","Fri Nov 30 10:41:23 2018",0,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /above:12 /htmin:3 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:45:18 2018","Fri Nov 30 10:45:18 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /htmin:3 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:45:26 2018","Fri Nov 30 10:45:26 2018",0,Errors
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /id /new /above:12 C:\lidar\sampledata\plotmetrixs.txt C:\lidar\sampledata\outmetrics.csv","Fri Nov 30 10:45:35 2018","Fri Nov 30 10:45:35 2018",0,Success
"GridMetrics",3.45,"Aug  6 2018 10:53:26"," /minht:3 /nointensity E:\Palancia\_SFM\_Mix_Agisoft_Pix4d\MDT.dtm 1 12 E:\Palancia\_SFM\_Mix_Agisoft_Pix4d\metrics.csv E:\Palancia\_SFM\_Mix_Agisoft_Pix4d\cloud_filtered.las","Fri Nov 30 12:17:47 2018","Fri Nov 30 12:18:32 2018",45,Success
"GroundFilter",1.81,"Aug  6 2018 10:55:53","/gparam:0 /wparam:0.01 /iterations:10 E:/Pruebas/r_studio/outputDirectory/Example_GroundPts.las 1 E:/Pruebas/r_studio/inputDirectory/Example.las","Tue Dec 11 10:54:25 2018","Tue Dec 11 10:54:31 2018",6,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02","E:/Pruebas/r_studio/outputDirectory/Example_DEM.dtm 1 M M 1 12 2 2 E:/Pruebas/r_studio/outputDirectory/Example_GroundPts.las","Tue Dec 11 10:54:31 2018","Tue Dec 11 10:54:31 2018",0,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44","/ground:E:/Pruebas/r_studio/outputDirectory/Example_DEM.dtm E:/Pruebas/r_studio/outputDirectory/Example_CHM.dtm 1 M M 1 12 2 2 E:/Pruebas/r_studio/inputDirectory/Example.las","Tue Dec 11 10:54:31 2018","Tue Dec 11 10:54:33 2018",2,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46","E:/Pruebas/r_studio/outputDirectory/Example_CHM.dtm E:/Pruebas/r_studio/outputDirectory/Example_CHM.asc","Tue Dec 11 10:54:34 2018","Tue Dec 11 10:54:35 2018",1,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02","E:/Pruebas/r_studio/outputDirectory/Example_DEM.dtm 1 M M 1 12 2 2 E:/Pruebas/r_studio/outputDirectory/Example_GroundPts.las","Tue Dec 11 11:04:07 2018","Tue Dec 11 11:04:08 2018",1,Success
"GridSurfaceCreate",2.04,"Aug  6 2018 10:55:02","E:/Pruebas/r_studio/outputDirectory/Example_DEM.dtm 0.1 M M 1 12 2 2 E:/Pruebas/r_studio/outputDirectory/Example_GroundPts.las","Tue Dec 11 11:05:28 2018","Tue Dec 11 11:05:30 2018",2,Success
"CanopyModel",1.97,"Aug  6 2018 10:55:44","/ground:E:/Pruebas/r_studio/outputDirectory/Example_DEM.dtm E:/Pruebas/r_studio/outputDirectory/Example_CHM.dtm 1 M M 1 12 2 2 E:/Pruebas/r_studio/inputDirectory/Example.las","Tue Dec 11 11:05:30 2018","Tue Dec 11 11:05:31 2018",1,Success
"DTM2ASCII",1.41,"Aug  6 2018 10:54:46","E:/Pruebas/r_studio/outputDirectory/Example_CHM.dtm E:/Pruebas/r_studio/outputDirectory/Example_CHM.asc","Tue Dec 11 11:05:31 2018","Tue Dec 11 11:05:31 2018",0,Success
